 TIME (DAYS), WBHP (BAR), WWPR (M3/DAY)
    0.000 ,     1.0132 ,  0.00000E+00 
    0.001 ,   194.0638 ,  1.97775E+01 
    0.002 ,   212.4438 ,  1.98503E+01 
    0.003 ,   212.9734 ,  1.98524E+01 
    0.004 ,   211.8307 ,  1.98479E+01 
    0.005 ,   210.6877 ,  1.98434E+01 
    0.006 ,   209.6854 ,  1.98394E+01 
    0.007 ,   208.8106 ,  1.98359E+01 
    0.008 ,   208.0401 ,  1.98329E+01 
    0.009 ,   207.3548 ,  1.98301E+01 
    0.010 ,   206.7396 ,  1.98277E+01 
    0.020 ,   203.2326 ,  1.98138E+01 
    0.030 ,   200.9174 ,  1.98046E+01 
    0.040 ,   199.2295 ,  1.97979E+01 
    0.050 ,   197.9142 ,  1.97927E+01 
    0.060 ,   196.8413 ,  1.97885E+01 
    0.070 ,   195.9369 ,  1.97849E+01 
    0.080 ,   195.1557 ,  1.97818E+01 
    0.090 ,   194.4682 ,  1.97791E+01 
    0.100 ,   193.8540 ,  1.97767E+01 
    0.200 ,   190.3179 ,  1.97627E+01 
    0.300 ,   187.9591 ,  1.97534E+01 
    0.400 ,   186.2350 ,  1.97466E+01 
    0.500 ,   184.8957 ,  1.97413E+01 
    0.600 ,   183.8091 ,  1.97370E+01 
    0.700 ,   182.8985 ,  1.97334E+01 
    0.800 ,   182.1164 ,  1.97303E+01 
    0.900 ,   181.4315 ,  1.97276E+01 
    1.000 ,   180.8225 ,  1.97252E+01 
    1.100 ,   180.2744 ,  1.97230E+01 
    1.200 ,   179.7761 ,  1.97211E+01 
    1.300 ,   179.3192 ,  1.97193E+01 
    1.400 ,   178.8975 ,  1.97176E+01 
    1.500 ,   178.5058 ,  1.97161E+01 
    1.600 ,   178.1401 ,  1.97146E+01 
    1.700 ,   177.7972 ,  1.97133E+01 
    1.800 ,   177.4745 ,  1.97120E+01 
    1.900 ,   177.1696 ,  1.97108E+01 
    2.000 ,   176.8807 ,  1.97097E+01 
    3.000 ,   174.8331 ,  1.97016E+01 
    4.000 ,   173.2783 ,  1.96955E+01 
    5.000 ,   172.0381 ,  1.96906E+01 
    6.000 ,   171.0128 ,  1.96865E+01 
    7.000 ,   170.1425 ,  1.96831E+01 
    8.000 ,   169.3890 ,  1.96802E+01 
    9.000 ,   168.7269 ,  1.96775E+01 
   10.000 ,   168.1384 ,  1.96752E+01 
   11.000 ,   167.6107 ,  1.96732E+01 
   12.000 ,   167.1345 ,  1.96713E+01 
   13.000 ,   166.7025 ,  1.96696E+01 
   14.000 ,   166.3091 ,  1.96680E+01 
   15.000 ,   165.9498 ,  1.96666E+01 
   16.000 ,   165.6209 ,  1.96653E+01 
   17.000 ,   165.3193 ,  1.96641E+01 
   18.000 ,   165.0424 ,  1.96631E+01 
   19.000 ,   164.7878 ,  1.96621E+01 
   20.000 ,   164.5537 ,  1.96611E+01 
   21.000 ,   164.3381 ,  1.96603E+01 
   22.000 ,   164.1397 ,  1.96595E+01 
   23.000 ,   163.9569 ,  1.96588E+01 
   24.000 ,   163.7884 ,  1.96581E+01 
   25.000 ,   163.6332 ,  1.96575E+01 
   26.000 ,   163.4901 ,  1.96570E+01 
   27.000 ,   163.3582 ,  1.96564E+01 
   28.000 ,   163.2366 ,  1.96560E+01 
   29.000 ,   163.1245 ,  1.96555E+01 
   30.000 ,   163.0212 ,  1.96551E+01 
   45.000 ,   162.3374 ,  1.96524E+01 
   60.000 ,   162.0357 ,  1.96512E+01 
   75.000 ,   161.9025 ,  1.96507E+01 
   90.000 ,   161.8438 ,  1.96505E+01 
  105.000 ,   161.8179 ,  1.96504E+01 
  120.000 ,   161.8065 ,  1.96503E+01 
  135.000 ,   161.8014 ,  1.96503E+01 
  150.000 ,   161.7992 ,  1.96503E+01 
  165.000 ,   161.7982 ,  1.96503E+01 
  180.000 ,   161.7978 ,  1.96503E+01 
